4967600,2,Core contributor is belonged to small group
5025610,1,Core contributor is belonged to small group
5051083,1,Core contributor is belonged to small group
5054494,2,Core contributor is belonged to small group
5089162,1,Core contributor is belonged to small group
5152285,9,Core contributor is belonged to large group
5188983,1,Core contributor is belonged to small group
5299477,1,Core contributor is belonged to small group
5363116,1,Core contributor is belonged to small group
5383214,1,Core contributor is belonged to small group
5384390,1,Core contributor is belonged to small group
5438867,1,Core contributor is belonged to small group
5440447,1,Core contributor is belonged to small group
5575106,2,Core contributor is belonged to small group
5629592,1,Core contributor is belonged to small group
5633375,1,Core contributor is belonged to small group
5634276,1,Core contributor is belonged to small group
5699974,1,Core contributor is belonged to small group
5712116,1,Core contributor is belonged to small group
5714914,1,Core contributor is belonged to small group
5735961,1,Core contributor is belonged to small group
5924985,1,Core contributor is belonged to small group
5954894,5,Core contributor is belonged to small group
6018009,1,Core contributor is belonged to small group
6031942,4,Core contributor is belonged to small group
6039411,1,Core contributor is belonged to small group
6055237,1,Core contributor is belonged to small group
6056031,1,Core contributor is belonged to small group
6058123,4,Core contributor is belonged to small group
6058151,4,Core contributor is belonged to small group
6058234,30,Core contributor is belonged to large group
6078190,1,Core contributor is belonged to small group
6207723,2,Core contributor is belonged to small group
6285991,1,Core contributor is belonged to small group
6309879,1,Core contributor is belonged to small group
6410069,1,Core contributor is belonged to small group
6437150,1,Core contributor is belonged to small group
6439786,4,Core contributor is belonged to small group
6439865,4,Core contributor is belonged to small group
6444385,1,Core contributor is belonged to small group
6451846,1,Core contributor is belonged to small group
6453341,1,Core contributor is belonged to small group
6466760,1,Core contributor is belonged to small group
6485371,1,Core contributor is belonged to small group
6495082,5,Core contributor is belonged to small group
6495465,1,Core contributor is belonged to small group
6495698,1,Core contributor is belonged to small group
6495874,1,Core contributor is belonged to small group
6547443,1,Core contributor is belonged to small group
6568555,1,Core contributor is belonged to small group
6623105,1,Core contributor is belonged to small group
6665452,1,Core contributor is belonged to small group
6756500,1,Core contributor is belonged to small group
6756503,2,Core contributor is belonged to small group
6842649,1,Core contributor is belonged to small group
6943969,2,Core contributor is belonged to small group
6966619,1,Core contributor is belonged to small group
7228380,3,Core contributor is belonged to small group
7236335,1,Core contributor is belonged to small group
7270538,1,Core contributor is belonged to small group
7297634,1,Core contributor is belonged to small group
7360528,1,Core contributor is belonged to small group
7386799,1,Core contributor is belonged to small group
7396761,2,Core contributor is belonged to small group
7408076,2,Core contributor is belonged to small group
7426399,1,Core contributor is belonged to small group
7447534,1,Core contributor is belonged to small group
7464079,1,Core contributor is belonged to small group
7512484,1,Core contributor is belonged to small group
7512664,1,Core contributor is belonged to small group
7517166,1,Core contributor is belonged to small group
7569904,1,Core contributor is belonged to small group
7588969,8,Core contributor is belonged to large group
7653178,3,Core contributor is belonged to small group
7672454,1,Core contributor is belonged to small group
7721013,1,Core contributor is belonged to small group
7812229,1,Core contributor is belonged to small group
7827081,1,Core contributor is belonged to small group
7844340,2,Core contributor is belonged to small group
7885934,1,Core contributor is belonged to small group
7907581,1,Core contributor is belonged to small group
7930464,3,Core contributor is belonged to small group
7948981,1,Core contributor is belonged to small group
7968180,1,Core contributor is belonged to small group
7968428,1,Core contributor is belonged to small group
7968569,1,Core contributor is belonged to small group
8057761,1,Core contributor is belonged to small group
8058419,1,Core contributor is belonged to small group
8063255,3,Core contributor is belonged to small group
8067787,1,Core contributor is belonged to small group
8105769,3,Core contributor is belonged to small group
8122790,1,Core contributor is belonged to small group
8144625,1,Core contributor is belonged to small group
8208289,1,Core contributor is belonged to small group
8255002,1,Core contributor is belonged to small group
8367594,1,Core contributor is belonged to small group
8412497,1,Core contributor is belonged to small group
8421109,1,Core contributor is belonged to small group
8488437,5,Core contributor is belonged to small group
8528208,3,Core contributor is belonged to small group
8588051,1,Core contributor is belonged to small group
8694598,1,Core contributor is belonged to small group
8710498,1,Core contributor is belonged to small group
8715146,1,Core contributor is belonged to small group
8733526,1,Core contributor is belonged to small group
8733622,2,Core contributor is belonged to small group
8766817,1,Core contributor is belonged to small group
8869463,1,Core contributor is belonged to small group
8870570,2,Core contributor is belonged to small group
8883259,2,Core contributor is belonged to small group
8930485,1,Core contributor is belonged to small group
8973396,1,Core contributor is belonged to small group
9203569,1,Core contributor is belonged to small group
9238689,1,Core contributor is belonged to small group
9285950,1,Core contributor is belonged to small group
9317463,1,Core contributor is belonged to small group
9332135,1,Core contributor is belonged to small group
9365475,2,Core contributor is belonged to small group
9384988,1,Core contributor is belonged to small group
9399334,3,Core contributor is belonged to small group
9436196,1,Core contributor is belonged to small group
9447707,1,Core contributor is belonged to small group
9457897,7,Core contributor is belonged to large group
9512747,1,Core contributor is belonged to small group
9584741,1,Core contributor is belonged to small group
9585555,1,Core contributor is belonged to small group
9603429,2,Core contributor is belonged to small group
9614450,1,Core contributor is belonged to small group
9693534,1,Core contributor is belonged to small group
9736099,2,Core contributor is belonged to small group
9749290,1,Core contributor is belonged to small group
9759448,1,Core contributor is belonged to small group
9801943,1,Core contributor is belonged to small group
9974276,2,Core contributor is belonged to small group
10005030,1,Core contributor is belonged to small group
10020253,1,Core contributor is belonged to small group
10021385,1,Core contributor is belonged to small group
10033802,1,Core contributor is belonged to small group
10038467,3,Core contributor is belonged to small group
10039899,2,Core contributor is belonged to small group
10040198,7,Core contributor is belonged to large group
10040379,1,Core contributor is belonged to small group
10052229,1,Core contributor is belonged to small group
10095561,1,Core contributor is belonged to small group
10126031,1,Core contributor is belonged to small group
10218080,1,Core contributor is belonged to small group
10257627,2,Core contributor is belonged to small group
10314483,1,Core contributor is belonged to small group
10317502,1,Core contributor is belonged to small group
10349104,1,Core contributor is belonged to small group
10415898,2,Core contributor is belonged to small group
10415964,1,Core contributor is belonged to small group
10416648,1,Core contributor is belonged to small group
10435975,4,Core contributor is belonged to small group
10442886,1,Core contributor is belonged to small group
10442936,1,Core contributor is belonged to small group
10442970,1,Core contributor is belonged to small group
10442975,1,Core contributor is belonged to small group
10442976,1,Core contributor is belonged to small group
10442977,1,Core contributor is belonged to small group
10446270,1,Core contributor is belonged to small group
10446275,2,Core contributor is belonged to small group
10467655,3,Core contributor is belonged to small group
10489159,1,Core contributor is belonged to small group
10490362,1,Core contributor is belonged to small group
10491111,1,Core contributor is belonged to small group
10534723,1,Core contributor is belonged to small group
10589177,1,Core contributor is belonged to small group
10591288,1,Core contributor is belonged to small group
10592993,1,Core contributor is belonged to small group
10594039,1,Core contributor is belonged to small group
